1/28/2018 1:36:31 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:36:31 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:36:31 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:36:31 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:36:31 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:36:31 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:36:31 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:36:31 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:36:31 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:36:33 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:36:33 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:36:33 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:36:34 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:36:34 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:36:34 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:36:34 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:36:34 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:36:34 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:36:34 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:36:34 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:36:34 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:36:36 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:36:36 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:36:36 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:36:37 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:36:37 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:36:37 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:36:37 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:36:37 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:36:37 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:36:37 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:36:37 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:36:37 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:36:39 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:36:39 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:36:39 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:36:40 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:36:40 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:36:40 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:36:40 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:36:40 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:36:40 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:36:40 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:36:40 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:36:40 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:36:42 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:36:42 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:36:42 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:36:43 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
