1/28/2018 11:52:33 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:33 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:33 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:34 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:34 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:34 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:34 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:34 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:34 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:34 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:35 AM: NMS.NetworkModel; line: 123; NMS failed to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 123; NMS failed to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 123; NMS failed to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 40; NMS try to connect with Coordinator.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 42; NMS is connected to the Coordinator.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:36 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:36 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:36 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:36 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:36 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:36 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:36 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:36 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:36 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:36 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:36 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:36 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:36 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:36 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:36 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:36 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:37 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:37 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:37 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:37 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:37 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:37 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:37 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:37 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:37 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:37 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:37 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:37 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:37 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:37 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:37 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:37 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:37 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:37 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:37 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:37 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:37 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:37 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:37 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:37 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:37 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:37 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:37 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:37 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:37 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:37 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:37 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:37 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:37 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:37 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:37 AM: NMS.NetworkModel; line: 116; NMS try to connect to DB.
1/28/2018 11:52:37 AM: NMS.NetworkModel.DBProxy; line: 65; Create channel between NMS and DB.
1/28/2018 11:52:37 AM: NSM.NetworkModel.DBProxy; line: 72; Channel NMS-DB is created.
1/28/2018 11:52:38 AM: NMS.NetworkModel; line: 123; NMS failed to connect to DB.
1/28/2018 11:52:38 AM: NMS.NetworkModel; line: 123; NMS failed to connect to DB.
1/28/2018 11:52:38 AM: NMS.NetworkModel; line: 123; NMS failed to connect to DB.
1/28/2018 11:52:38 AM: NMS.NetworkModel; line: 123; NMS failed to connect to DB.
1/28/2018 11:52:38 AM: NMS.NetworkModel; line: 123; NMS failed to connect to DB.
1/28/2018 11:52:38 AM: NMS.NetworkModel; line: 123; NMS failed to connect to DB.
1/28/2018 11:52:38 AM: NMS.NetworkModel; line: 123; NMS failed to connect to DB.
