2/2/2018 4:44:44 PM: AMIClient.GeoRegionForTree.IsSelected; line: 76; Start - get all ami for the selected region.
2/2/2018 4:44:45 PM: AMIClient.Model.GetAllAmis; line: 653; Start the GetAllAmis function.
2/2/2018 4:44:45 PM: AMIClient.Model.GetSomeSubregions; line: 532; Start the GetSomeSubregions function.
2/2/2018 4:44:45 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:45 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:45 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:45 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:45 PM: AMIClient.Model.GetSomeSubregions; line: 538; Finish the GetSomeSubregions function.
2/2/2018 4:44:45 PM: AMIClient.Model.GetSomeSubstation; line: 545; Start the GetSomeSubstation function.
2/2/2018 4:44:45 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:45 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:45 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:45 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:45 PM: AMIClient.Model.GetSomeSubstation; line: 551; Start the GetSomeSubstation function.
2/2/2018 4:44:45 PM: AMIClient.Model.SCProxy; line: 131; Channel Client-SC is created.
2/2/2018 4:44:45 PM: AMIClient.GeoRegionForTree.IsSelected; line: 82; Finish - get all ami for the selected region.
2/2/2018 4:44:45 PM: AMIClient.Model.GetAllAmis; line: 653; Start the GetAllAmis function.
2/2/2018 4:44:45 PM: AMIClient.Model.GetSomeSubregions; line: 532; Start the GetSomeSubregions function.
2/2/2018 4:44:45 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:45 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:45 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:45 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:45 PM: AMIClient.Model.GetSomeSubregions; line: 538; Finish the GetSomeSubregions function.
2/2/2018 4:44:45 PM: AMIClient.Model.GetSomeSubstation; line: 545; Start the GetSomeSubstation function.
2/2/2018 4:44:45 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:45 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:45 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:45 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GetSomeSubstation; line: 551; Start the GetSomeSubstation function.
2/2/2018 4:44:46 PM: AMIClient.GeoRegionForTree.LoadChildren; line: 116; Start the LoadChildren function.
2/2/2018 4:44:46 PM: AMIClient.Model.GetSomeSubregions; line: 532; Start the GetSomeSubregions function.
2/2/2018 4:44:46 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GetSomeSubregions; line: 538; Finish the GetSomeSubregions function.
2/2/2018 4:44:46 PM: AMIClient.GeoRegionForTree.LoadChildren; line: 132; Finish the LoadChildren function.
2/2/2018 4:44:46 PM: AMIClient.GeoRegionForTree.LoadChildren; line: 116; Start the LoadChildren function.
2/2/2018 4:44:46 PM: AMIClient.Model.GetSomeSubregions; line: 532; Start the GetSomeSubregions function.
2/2/2018 4:44:46 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GetSomeSubregions; line: 538; Finish the GetSomeSubregions function.
2/2/2018 4:44:46 PM: AMIClient.GeoRegionForTree.LoadChildren; line: 132; Finish the LoadChildren function.
2/2/2018 4:44:46 PM: AMIClient.GeoRegionForTree.LoadChildren; line: 116; Start the LoadChildren function.
2/2/2018 4:44:46 PM: AMIClient.Model.GetSomeSubregions; line: 532; Start the GetSomeSubregions function.
2/2/2018 4:44:46 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GetSomeSubregions; line: 538; Finish the GetSomeSubregions function.
2/2/2018 4:44:46 PM: AMIClient.GeoRegionForTree.LoadChildren; line: 132; Finish the LoadChildren function.
2/2/2018 4:44:46 PM: AMIClient.RootElement.LoadChildren; line: 134; Start the LoadChildren function.
2/2/2018 4:44:46 PM: AMIClient.Model.GetAllRegions; line: 413; Start the GetAllRegions function.
2/2/2018 4:44:46 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GetAllRegions; line: 422; Start the GetAllRegions function.
2/2/2018 4:44:46 PM: AMIClient.RootElement.LoadChildren; line: 150; Finish the LoadChildren function.
2/2/2018 4:44:46 PM: AMIClient.RootElement.LoadChildren; line: 134; Start the LoadChildren function.
2/2/2018 4:44:46 PM: AMIClient.Model.GetAllRegions; line: 413; Start the GetAllRegions function.
2/2/2018 4:44:46 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:46 PM: AMIClient.Model.GetAllRegions; line: 422; Start the GetAllRegions function.
2/2/2018 4:44:47 PM: AMIClient.RootElement.LoadChildren; line: 150; Finish the LoadChildren function.
2/2/2018 4:44:47 PM: AMIClient.Model.GetAllAmis; line: 433; Start the GetAllAmis function.
2/2/2018 4:44:47 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:47 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:47 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:47 PM: AMIClient.Model.GetAllAmis; line: 459; Start the GetAllAmis function.
2/2/2018 4:44:47 PM: AMIClient.Model.SCProxy; line: 131; Channel Client-SC is created.
2/2/2018 4:44:47 PM: AMIClient.RootElement.LoadChildren; line: 134; Start the LoadChildren function.
2/2/2018 4:44:47 PM: AMIClient.Model.GetAllRegions; line: 413; Start the GetAllRegions function.
2/2/2018 4:44:47 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:47 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:47 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:47 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:47 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:47 PM: AMIClient.Model.GetAllRegions; line: 422; Start the GetAllRegions function.
2/2/2018 4:44:47 PM: AMIClient.GeoRegionForTree.LoadChildren; line: 116; Start the LoadChildren function.
2/2/2018 4:44:47 PM: AMIClient.Model.GetSomeSubregions; line: 532; Start the GetSomeSubregions function.
2/2/2018 4:44:47 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:47 PM: AMIClient.Model.GdaQueryProxy; line: 74; Channel Client-NMS is created.
2/2/2018 4:44:47 PM: AMIClient.Model.GetSomeSubregions; line: 538; Finish the GetSomeSubregions function.
2/2/2018 4:44:47 PM: AMIClient.GeoRegionForTree.LoadChildren; line: 132; Finish the LoadChildren function.
